"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the setting of the neptune API variable.","9","test_set_neptune_token","tests.unit_test.transformer_test","Mon Dec 08 07:05:09 UTC 2025","passed","Mon Dec 08 07:05:09 UTC 2025","","train_test","",""
"Test applying config when model section already exists.","2","test_apply_config_existing_model_section","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Tests precision-recall curve calculations.","81","test_get_pr_curve","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test the 'predict' command of the instanovo cli with a file with a non-supported suffix.","172","test_instanovo_model_suffix[args1]","tests.unit_test","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:49 UTC 2025","","cli_test","",""
"Test the main command help text is displayed.","142","test_main_help[args3-Run predictions or train with only the diffusion-based InstaNovo+ model.]","tests.unit_test","Mon Dec 08 07:05:51 UTC 2025","passed","Mon Dec 08 07:05:51 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting instanovo model.","171","test_model[args0-InstaNovo]","tests.unit_test","Mon Dec 08 07:05:49 UTC 2025","passed","Mon Dec 08 07:05:49 UTC 2025","","cli_test","",""
"Tests environment variable checks.","2","test_s3_enabled","tests.unit_test.utils_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:11 UTC 2025","","s3_test","",""
"Test transformer inference for mzML input.","796","test_mzml_preds","tests.unit_test.transformer_test","Mon Dec 08 07:05:40 UTC 2025","passed","Mon Dec 08 07:05:41 UTC 2025","","predict_test","",""
"Test device detection when only MPS is available.","2","test_detect_mps","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestDetectDevice","device_handler_test","",""
"Test successful extraction of a zip file.","5","test_unzip_zenodo_success","tests.scripts","Mon Dec 08 07:05:48 UTC 2025","passed","Mon Dec 08 07:05:48 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test the 'predict' command of the instanovo_cli with no data path.","173","test_no_data_path[args2]","tests.unit_test","Mon Dec 08 07:06:01 UTC 2025","passed","Mon Dec 08 07:06:01 UTC 2025","","cli_test","",""
"Tests amino acid mass sum.","0","test_mass","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test check_device with config parameter.","2","test_check_device_with_config","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
"Test sanitise peptide sequence.","0","test_sanitise_peptides","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Test when MPS is available and requested.","4","test_mps_available_and_requested","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Tests splitting of peptide.","0","test_split_peptide","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Tests calculation of amino-acid level error-rate.","1","test_compute_aa_er","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test loading an InstaNovo model and doing inference end-to-end.","1516","test_transformer_model","tests.integration","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:18 UTC 2025","","instanovo_model_test","",""
"Tests calculation of peptide-level AUC.","80","test_calc_auc","tests.unit_test.utils_test","Mon Dec 08 07:05:44 UTC 2025","passed","Mon Dec 08 07:05:44 UTC 2025","","metrics_test","",""
"Test the main command help text is displayed.","23","test_main_help[args1-Run predictions with InstaNovo and optionally with InstaNovo+.]","tests.unit_test","Mon Dec 08 07:05:51 UTC 2025","passed","Mon Dec 08 07:05:51 UTC 2025","","cli_test","",""
"Test applying config with auto-detected device.","2","test_apply_config_auto_detect","tests.unit_test.utils_test","Mon Dec 08 07:05:26 UTC 2025","passed","Mon Dec 08 07:05:26 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test main method call.","3","test_main","tests.unit_test.scripts_test","Mon Dec 08 07:06:19 UTC 2025","passed","Mon Dec 08 07:06:19 UTC 2025","","update_ipc_format_test","",""
"Test spectrum data frame properties.","1","test_properties","tests.unit_test.utils_test","Mon Dec 08 07:06:16 UTC 2025","passed","Mon Dec 08 07:06:16 UTC 2025","","data_handler_test","",""
"Tests s3 creation.","425","test_create_s3fs","tests.unit_test.utils_test","Mon Dec 08 07:06:11 UTC 2025","passed","Mon Dec 08 07:06:12 UTC 2025","","s3_test","",""
